data,custom_powerplants_name,fuel_override
Bangweulu Power Limited,Bangweulu Solar Farm,
Itezhi tezhi Power Corporation,Itezhi Tezhi,
Kafue Gorge Lower,Kafue Gorge Lower,
Kariba North Bank Extension,Kariba North Bank Extension,
Lunsemfwa Hydro Power Limited,Lusemfwa,
Maamba Energy Limited,Maamba,
Ndola Energy Corporation Limited,Ndola,
Kafue Gorge Mini Hydro,,ror
Chisamba,,solar
Solar century,,solar
United Capital Fertiliser,,coal
Ngonye Power Limited,Ngonye Solar Farm,
Dangote,,coal
CEC Emergency Generators,,oil
Kafue Gorge,Kafue Gorge Upper,
Kariba North Bank,Kariba North Bank,
Victoria falls,Victoria Falls,
Chishimba Falls,Chishimba Falls,
Lunzua,Lunzua,
Lusiwasi Lower,Lusiwasi Zambia,
Lusiwasi Upper,Lusiwasi Upper,
Musonda Falls,Musonda Falls,
Shiwan'gandu,Shiwanga'ndu,
Chama,,oil
Itezhi tezhi oil,,oil
Kabompo,,oil
Luangwa,,oil
Lundazi,,oil
Shang'ombo,,oil
Zambezi,,oil
